Name,Reign_Beginning,Reign_End,Defeated,Defenses,Reach,Height,Stance,Nationality,Weight,Recognition
Larry Holmes,11-Dec-83,21-Sep-85,Previous,3,206,191,Orthodox,American,Heavy,IBF
Michael Spinks,21-Sep-85, 26 February 1987,Larry Holmes,2,193,189,Orthodox,American,Heavy,IBF
Tony Tucker,30-May-87,1-Aug-87,Buster Douglas,0,208,196,Orthodox,American,Heavy,IBF
Mike Tyson,1-Aug-87,11-Feb-90,Tony Tucker,6,,,,American,Heavy,IBF
Buster Douglas,11-Feb-90,25-Oct-90,Mike Tyson,0,211,192,Orthodox,American,Heavy,IBF
Evander Holyfield,25-Oct-90,13-Nov-92,Buster Douglas,3,197,189,Orthodox,American,Heavy,IBF
Riddick Bowe,13-Nov-92,6-Nov-93,Evander Holyfield,1,206,196,Orthodox,American,Heavy,IBF
Evander Holyfield,6-Nov-93,22-Apr-94,Riddick Bowe,0,197,189,Orthodox,American,Heavy,IBF
Michael Moorer,22-Apr-94,5-Nov-94,Evander Holyfield ,0,193,188,Southpaw,American,Heavy,IBF
George Foreman,5-Nov-94, 29 June 1995,Michael Moorer,1,201,193,Orthodox,American,Heavy,IBF
Michael Moorer,22-Jun-96,8-Nov-97,Axel Schulz,2,193,188,Southpaw,American,Heavy,IBF
Evander Holyfield,8-Nov-97,13-Nov-99,Michael Moorer ,2,197,189,Orthodox,American,Heavy,IBF
Lennox Lewis,13-Nov-99,22-Apr-01,Evander Holyfield ,3,213,196,Orthodox,British,Heavy,IBF
Hasim Rahman,22-Apr-01,17-Nov-01,Lennox Lewis,0,208,189,Orthodox,American,Heavy,IBF
Lennox Lewis,17-Nov-01, 5 September 2002,Hasim Rahman,1,213,196,Orthodox,British,Heavy,IBF
Chris Byrd,14-Dec-02,22-Apr-06,Evander Holyfield,4,188,183,Southpaw,American,Heavy,IBF
Wladimir Klitschko,22-Apr-06,28-Nov-15,Chris Byrd,18,,,,Ukrainian,Heavy,IBF
Tyson Fury,28-Nov-15, 8 December 2015,Wladimir Klitschko,0,216,206,Orthodox,British,Heavy,IBF
Charles Martin,16-Jan-16,9-Apr-16,Vyacheslav Glazkov,0,203,196,Southpaw,American,Heavy,IBF
Anthony Joshua,9-Apr-16,1-Jun-19,Charles Martin,6,208,198,Orthodox,British,Heavy,IBF
